zip_code,latitude,longitude,city,state,county
60602,41.811929,-87.68732,Chicago,IL,Cook
60603,42.055179,-87.72596,Chicago,IL,Cook
60604,41.811929,-87.68732,Chicago,IL,Cook
60605,41.811929,-87.68732,Chicago,IL,Cook
60606,41.811929,-87.68732,Chicago,IL,Cook
60607,41.928881,-87.81381,Chicago,IL,Cook
60608,41.811929,-87.68732,Chicago,IL,Cook
60609,41.811929,-87.68732,Chicago,IL,Cook
60610,41.811929,-87.68732,Chicago,IL,Cook
60611,41.811929,-87.68732,Chicago,IL,Cook
60612,41.811929,-87.68732,Chicago,IL,Cook
60613,41.811929,-87.68732,Chicago,IL,Cook
60614,41.811929,-87.68732,Chicago,IL,Cook
60615,41.811929,-87.68732,Chicago,IL,Cook
60616,41.811929,-87.68732,Chicago,IL,Cook
60617,41.811929,-87.68732,Chicago,IL,Cook
60618,41.811929,-87.68732,Chicago,IL,Cook
60619,41.811929,-87.68732,Chicago,IL,Cook
60620,41.811929,-87.68732,Chicago,IL,Cook
60621,41.811929,-87.68732,Chicago,IL,Cook
60622,41.811929,-87.68732,Chicago,IL,Cook
60623,41.811929,-87.68732,Chicago,IL,Cook
60624,41.811929,-87.68732,Chicago,IL,Cook
60625,41.811929,-87.68732,Chicago,IL,Cook
60626,41.811929,-87.68732,Chicago,IL,Cook
60628,41.811929,-87.68732,Chicago,IL,Cook
60629,41.811929,-87.68732,Chicago,IL,Cook
60630,41.811929,-87.68732,Chicago,IL,Cook
60631,42.00583,-87.808611,Chicago,IL,Cook
60632,41.811929,-87.68732,Chicago,IL,Cook
60633,41.811929,-87.68732,Chicago,IL,Cook
60634,41.933355,-87.816309,Chicago,IL,Cook
60636,41.811929,-87.68732,Chicago,IL,Cook
60637,41.811929,-87.68732,Chicago,IL,Cook
60638,41.811929,-87.68732,Chicago,IL,Cook
60639,41.811929,-87.68732,Chicago,IL,Cook
60640,41.811929,-87.68732,Chicago,IL,Cook
60641,41.811929,-87.68732,Chicago,IL,Cook
60643,41.811929,-87.68732,Chicago,IL,Cook
60644,41.811929,-87.68732,Chicago,IL,Cook
60645,42.00808,-87.721458,Chicago,IL,Cook
60646,42.00663,-87.75901,Chicago,IL,Cook
60647,41.811929,-87.68732,Chicago,IL,Cook
60649,41.811929,-87.68732,Chicago,IL,Cook
60651,41.811929,-87.68732,Chicago,IL,Cook
60652,41.811929,-87.68732,Chicago,IL,Cook
60653,41.811929,-87.68732,Chicago,IL,Cook
60654,41.811929,-87.68732,Chicago,IL,Cook
60655,41.811929,-87.68732,Chicago,IL,Cook
60656,41.97353,-87.865763,Chicago,IL,Cook
60657,41.811929,-87.68732,Chicago,IL,Cook
60659,41.997247,-87.716621,Chicago,IL,Cook
60660,41.811929,-87.68732,Chicago,IL,Cook
60661,41.811929,-87.68732,Chicago,IL,Cook
60663,41.811929,-87.68732,Chicago,IL,Cook
60664,41.811929,-87.68732,Chicago,IL,Cook
60665,41.811929,-87.68732,Chicago,IL,Cook
60666,41.968029,-87.891214,Amf Ohare,IL,Cook
60667,41.811929,-87.68732,Chicago,IL,Cook
60668,41.811929,-87.68732,Chicago,IL,Cook
60669,41.811929,-87.68732,Chicago,IL,Cook
60670,41.811929,-87.68732,Chicago,IL,Cook
60671,41.811929,-87.68732,Chicago,IL,Cook
60672,41.811929,-87.68732,Chicago,IL,Cook
60673,41.811929,-87.68732,Chicago,IL,Cook
60674,41.811929,-87.68732,Chicago,IL,Cook
60675,41.811929,-87.68732,Chicago,IL,Cook
60677,41.811929,-87.68732,Chicago,IL,Cook
60678,41.811929,-87.68732,Chicago,IL,Cook
60679,41.811929,-87.68732,Chicago,IL,Cook
60680,41.811929,-87.68732,Chicago,IL,Cook
60681,41.811929,-87.68732,Chicago,IL,Cook
60683,41.811929,-87.68732,Chicago,IL,Cook
60684,41.811929,-87.68732,Chicago,IL,Cook
60685,41.811929,-87.68732,Chicago,IL,Cook
60687,41.811929,-87.68732,Chicago,IL,Cook
